cas,smiles,h1,h2,yield
88-99-3,O=C(C1=CC=CC=C1C(O)=O)O,17,16,13.32
2169-87-1,O=C(C1=CC2=CC=CC=C2C=C1C(O)=O)O,23,22,11.8
89-05-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1C(O)=O)O,19,20,11.53
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15,19,15.65
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15,19,12.49
te,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC(OC3=CC=C(C(O)=O)C(C(O)=O)=C3)=CC(OC4=CC(C(O)=O)=C(C(O)=O)C=C4)=C2)O,62,47,4.18
de,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC=CC(OC3=CC(C(O)=O)=C(C(O)=O)C=C3)=C2)O,45,34,11.5
ee,O=C(C1=CC(OC(C=C2)=CC=C2OC3=CC(OC4=CC=C(OC5=CC=C(C(O)=O)C(C(O)=O)=C5)C=C4)=CC=C3)=CC=C1C(O)=O)O,67,66,8.7356475
27485-15-0,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC=CC=C31)=O,24,23,17.69
1885-13-8,COC1=CC=C(C(O)=O)C(C(O)=O)=C1,20,19,13.29
14963-97-4,COC1=C(C(O)=O)C(C(O)=O)=CC=C1,18,17,8.95
4-no,O=C(C1=CC(OC2=CC3=CC=CC=C3C=C2)=CC=C1C(O)=O)O,34,33,12.97
4-po,O=C(C1=CC(OC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)=CC=C1C(O)=O)O,42,41,13.9
4-ne,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=CC=CC=C3C=C2)O,41,28,12.8
3-ne,O=C(C1=CC=CC(OCCOC2=CC3=CC=CC=C3C=C2)=C1C(O)=O)O,41,40,5.7
4-pe,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)O,49,34,13.55
4-nb,O=C(C(C=C1)=C(C(O)=O)C=C1OCCCCOC2=CC3=CC=CC=C3C=C2)O,47,30,13.46
56962-08-4,ClC1=C(Cl)C=C(C(O)=O)C(C(O)=O)=C1,16,15,18.18
2479-49-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1)C2=CC=C(C(O)=O)C(C(O)=O)=C2,27,28,14.76
10351-75-4,O=C(C1=CC2=C(C=C1C(O)=O)N=CN2)O,20,17,7.2
18959-31-4,FC1=C(F)C=C(C(O)=O)C(C(O)=O)=C1,16,15,14.92
27563-65-1,ClC1=C(C(O)=O)C(C(O)=O)=CC=C1,14,13,10.0
652-03-9,FC1=C(F)C(F)=C(C(O)=O)C(C(O)=O)=C1F,17,16,10.92
528-44-9,O=C(C1=C(C(O)=O)C=CC(C(O)=O)=C1)O,15,20,11.82
10595-33-2,O=C(C1=C(C(O)=O)C=CC(CC2=CC=C(C(O)=O)C(C(O)=O)=C2)=C1)O,25,36,9.43
