cas,smiles,h1,h2
88-99-3,O=C(C1=CC=CC=C1C(O)=O)O,17,16
2169-87-1,O=C(C1=CC2=CC=CC=C2C=C1C(O)=O)O,23,22
89-05-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1C(O)=O)O,19,20
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15,19
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15,19
te,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC(OC3=CC=C(C(O)=O)C(C(O)=O)=C3)=CC(OC4=CC(C(O)=O)=C(C(O)=O)C=C4)=C2)O,62,47
de,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC=CC(OC3=CC(C(O)=O)=C(C(O)=O)C=C3)=C2)O,45,34
ee,O=C(C1=CC(OC(C=C2)=CC=C2OC3=CC(OC4=CC=C(OC5=CC=C(C(O)=O)C(C(O)=O)=C5)C=C4)=CC=C3)=CC=C1C(O)=O)O,67,66
27485-15-0,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC=CC=C31)=O,24,23
1885-13-8,COC1=CC=C(C(O)=O)C(C(O)=O)=C1,20,19
14963-97-4,COC1=C(C(O)=O)C(C(O)=O)=CC=C1,18,17
4-no,O=C(C1=CC(OC2=CC3=CC=CC=C3C=C2)=CC=C1C(O)=O)O,34,33
4-po,O=C(C1=CC(OC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)=CC=C1C(O)=O)O,42,41
4-ne,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=CC=CC=C3C=C2)O,41,28
3-ne,O=C(C1=CC=CC(OCCOC2=CC3=CC=CC=C3C=C2)=C1C(O)=O)O,41,40
4-pe,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)O,49,34
4-nb,O=C(C(C=C1)=C(C(O)=O)C=C1OCCCCOC2=CC3=CC=CC=C3C=C2)O,47,30
56962-08-4,ClC1=C(Cl)C=C(C(O)=O)C(C(O)=O)=C1,16,15
2479-49-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1)C2=CC=C(C(O)=O)C(C(O)=O)=C2,27,28
10351-75-4,O=C(C1=CC2=C(C=C1C(O)=O)N=CN2)O,20,17
18959-31-4,FC1=C(F)C=C(C(O)=O)C(C(O)=O)=C1,16,15
27563-65-1,ClC1=C(C(O)=O)C(C(O)=O)=CC=C1,14,13
652-03-9,FC1=C(F)C(F)=C(C(O)=O)C(C(O)=O)=C1F,17,16
